Date,Adj Close,Volume,score
2023-05-11,9.1499996185,293900,9.980658355748878
2023-05-12,9.0600004196,322100,10.316778875449126
2023-05-15,9.220000267,460300,10.188097945381613
2023-05-16,9.1499996185,169100,9.992127239704132
2023-05-17,9.3599996567,267800,10.064332843803969
2023-05-18,9.529999733,290600,10.252284849062562
2023-05-19,9.4099998474,582300,10.041868603477876
2023-05-22,9.4499998093,250800,10.271747089516033
2023-05-23,9.2899999619,241200,10.375296755840904
2023-05-24,9.2700004578,208700,10.037638613518248
2023-05-25,9.5500001907,439400,10.071071012098282
2023-05-26,9.8199996948,374300,9.972552045470192
2023-05-30,9.8900003433,777700,10.389971857008181
2023-05-31,9.8199996948,266200,10.148380406567308
2023-06-01,10.029999733,272200,10.177172478957054
2023-06-02,10.0500001907,550100,10.091976874945116
2023-06-05,10.0699996948,345200,9.972555982795628
2023-06-06,10.1000003815,301100,9.824945701628315
2023-06-07,9.8500003815,400500,10.005456917561018
2023-06-08,9.9600000381,165500,9.928370130913598
2023-06-09,10.0,240200,9.827247091909734
