date,moving_avg_price
2023-05-11,9.12750005725
2023-05-12,9.143714359828573
2023-05-13,9.033257348185714
2023-05-14,9.1649998256
2023-05-15,9.175957134785715
2023-05-16,9.313399996085716
2023-05-17,9.48428562707143
2023-05-18,9.429042952385714
2023-05-19,9.467985698142856
2023-05-20,9.360857282357143
2023-05-21,9.22174290247143
2023-05-22,9.563014166671428
2023-05-23,9.802985736314286
2023-05-24,9.894300052085715
2023-05-25,9.809385708414286
2023-05-26,10.005585806714285
2023-05-27,10.056442941928571
2023-05-28,10.056914193285715
2023-05-29,10.1029714857
2023-05-30,9.943657193885715
2023-05-31,9.953585624685715
2023-06-01,9.887628937871428
2023-06-02,9.847585011214286
2023-06-03,9.736757352328572
2023-06-04,9.808242856671428
2023-06-05,9.705857241942857
2023-06-06,9.692857264742856
2023-06-07,9.761214261257143
2023-06-08,9.893257382814286
